f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4"
36046,52942,61680,65280,1,1,0,0,2,2,0,0,-1,-1,1,0,-1,0,0,1
36078,52942,61680,65280,2,1,0,0,3,2,0,0,-1,-1,1,0,-2,0,0,1
36078,52430,61680,65280,2,1,0,0,3,3,0,0,-1,-1,1,0,-2,-1,0,1
36046,52462,61680,65280,2,1,0,0,4,2,0,0,-2,0,1,0,-2,-1,0,1
36558,52462,61680,65280,3,1,0,0,4,2,0,0,-3,0,1,0,-2,-1,0,1
36558,52430,61680,65280,3,1,0,0,4,3,0,0,-3,-1,1,0,-2,-1,0,1
36526,52430,61680,65280,4,1,0,0,3,3,0,0,-3,-1,1,0,-2,-1,0,1
35566,52430,61680,65280,4,1,0,0,3,3,0,0,-2,-1,1,0,-3,-1,0,1
10794,52430,61680,65280,4,1,0,0,-2,3,0,0,-2,-1,1,0,-1,-1,0,1
8874,52430,61680,65280,4,1,0,0,-2,3,0,0,-1,-1,1,0,-2,-1,0,1
35502,52462,61680,65280,4,1,0,0,1,2,0,0,-1,0,1,0,-3,-1,0,1
36526,52462,61680,65280,4,1,0,0,3,2,0,0,-3,0,1,0,-2,-1,0,1
10794,52462,61680,65280,4,1,0,0,-2,2,0,0,-2,0,1,0,-1,-1,0,1
8746,52462,61680,65280,4,1,0,0,-3,2,0,0,-2,0,1,0,-1,-1,0,1
35502,52942,61680,65280,4,1,0,0,2,3,0,0,-2,-1,1,0,-2,0,0,1
35566,52942,61680,65280,4,1,0,0,2,3,0,0,-1,-1,1,0,-3,0,0,1
8874,52942,61680,65280,4,1,0,0,-1,3,0,0,0,-1,1,0,-3,0,0,1
8746,52942,61680,65280,4,1,0,0,-3,3,0,0,-1,-1,1,0,-2,0,0,1
