f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4"
28784,522,64254,65280,-1,3,2,0,-2,-2,1,0,3,-3,2,0,0,-2,-1,1
28784,522,64250,65280,-1,3,2,0,-2,-2,0,0,3,-3,2,0,0,-2,-1,1
28912,522,64250,65280,-1,3,2,0,-1,-2,0,0,3,-3,2,0,-1,-2,-1,1
28912,522,64254,65280,-1,3,2,0,-1,-2,1,0,3,-3,2,0,-1,-2,-1,1
28912,514,64254,65280,-1,3,2,0,-1,-3,1,0,3,-3,2,0,-1,-2,-1,1
28912,682,64254,65280,-1,3,2,0,-1,-1,1,0,3,-1,2,0,-1,-2,-1,1
64764,682,64254,65280,0,3,2,0,3,-1,1,0,3,-1,2,0,-2,-2,-1,1
64764,554,64254,65280,0,3,2,0,3,-1,1,0,3,-2,2,0,-2,-2,-1,1
64766,554,64254,65280,1,3,2,0,4,-1,1,0,4,-2,2,0,-3,-2,-1,1
64766,546,64254,65280,1,3,2,0,4,-3,1,0,4,-2,2,0,-3,-2,-1,1
64764,546,64254,65280,0,3,2,0,4,-3,1,0,4,-2,2,0,-3,-2,-1,1
64764,522,64254,65280,0,3,2,0,4,-2,1,0,4,-3,2,0,-3,-2,-1,1
64766,522,64254,65280,1,3,2,0,4,-2,1,0,4,-3,2,0,-3,-2,-1,1
64766,0,64254,65280,1,0,2,0,4,0,1,0,4,0,2,0,-3,-2,-1,1
64764,0,64254,65280,0,0,2,0,4,0,1,0,4,0,2,0,-3,-2,-1,1
64764,250,64254,65280,0,1,2,0,4,0,1,0,4,1,2,0,-3,-2,-1,1
64766,250,64254,65280,1,1,2,0,4,0,1,0,4,1,2,0,-3,-2,-1,1
64766,252,64254,65280,1,0,2,0,4,1,1,0,4,1,2,0,-3,-2,-1,1
64764,252,64254,65280,0,0,2,0,4,1,1,0,4,1,2,0,-3,-2,-1,1
64764,254,64254,65280,0,1,2,0,4,1,1,0,4,1,2,0,-3,-3,-1,1
64766,254,64254,65280,1,1,2,0,4,1,1,0,4,1,2,0,-3,-3,-1,1
65278,252,64254,65280,4,0,2,0,4,1,1,0,4,1,2,0,-3,-3,-1,1
65278,250,64254,65280,4,1,2,0,4,0,1,0,4,2,2,0,-3,-3,-1,1
65278,238,64254,65280,4,1,2,0,4,2,1,0,4,0,2,0,-3,-4,-1,1
64254,238,64254,65280,4,1,2,0,3,2,1,0,4,0,2,0,-3,-4,-1,1
64254,186,64254,65280,4,3,2,0,3,-1,1,0,4,1,2,0,-3,-4,-1,1
64250,186,64254,65280,4,3,2,0,0,-1,1,0,4,1,2,0,0,-4,-1,1
64250,0,64254,65280,4,0,2,0,0,-1,1,0,4,0,2,0,0,-4,-1,1
64250,4,64254,65280,4,-2,2,0,0,1,1,0,4,-1,2,0,0,-4,-1,1
64766,4,64254,65280,1,-2,2,0,2,1,1,0,4,-1,2,0,-1,-4,-1,1
64764,4,64254,65280,0,-2,2,0,2,1,1,0,4,-1,2,0,0,-4,-1,1
64764,244,64254,65280,0,-1,2,0,2,1,1,0,4,2,2,0,0,-4,-1,1
64766,244,64254,65280,1,-1,2,0,2,1,1,0,4,2,2,0,-1,-4,-1,1
61684,244,64254,65280,-1,-1,2,0,1,1,1,0,4,2,2,0,-1,-4,-1,1
61682,244,64254,65280,1,-1,2,0,-1,1,1,0,4,2,2,0,-1,-4,-1,1
61680,244,64254,65280,0,-1,2,0,-1,1,1,0,4,2,2,0,0,-4,-1,1
61680,254,64254,65280,0,1,2,0,-1,1,1,0,4,2,2,0,0,-4,-1,1
61680,252,64254,65280,0,0,2,0,-1,2,1,0,4,1,2,0,0,-4,-1,1
61680,0,64254,65280,0,0,2,0,-1,0,1,0,4,0,2,0,0,-4,-1,1
61680,8874,64254,65280,0,4,2,0,-1,-3,1,0,4,0,2,0,0,-3,-1,1
61680,8890,64254,65280,0,4,2,0,-1,-3,1,0,4,1,2,0,0,-3,-1,1
61680,8882,64254,65280,0,4,2,0,-1,-4,1,0,4,2,2,0,0,-3,-1,1
61682,8882,64254,65280,1,4,2,0,-1,-4,1,0,4,2,2,0,-1,-3,-1,1
62194,8882,64254,65280,1,4,2,0,-1,-4,1,0,4,2,2,0,0,-3,-1,1
62202,8882,64254,65280,2,4,2,0,-1,-4,1,0,4,2,2,0,-1,-3,-1,1
61690,8882,64254,65280,1,4,2,0,0,-4,1,0,4,2,2,0,-1,-3,-1,1
61684,8882,64254,65280,-1,4,2,0,1,-4,1,0,4,2,2,0,-1,-3,-1,1
61692,8882,64254,65280,0,4,2,0,1,-4,1,0,4,2,2,0,-1,-3,-1,1
61694,8882,64254,65280,1,4,2,0,1,-4,1,0,4,2,2,0,-2,-3,-1,1
61694,8890,64254,65280,1,4,2,0,1,-3,1,0,4,1,2,0,-2,-3,-1,1
61694,1036,64254,65280,1,-3,2,0,1,4,1,0,4,-4,2,0,-2,-3,-1,1
61694,1028,64254,65280,1,-4,2,0,1,4,1,0,4,-4,2,0,-2,-3,-1,1
61694,1092,64254,65280,1,-4,2,0,1,4,1,0,4,-3,2,0,-2,-3,-1,1
61692,1092,64254,65280,0,-4,2,0,2,4,1,0,4,-3,2,0,-3,-3,-1,1
61690,1092,64254,65280,2,-4,2,0,0,4,1,0,4,-3,2,0,-3,-3,-1,1
61682,1092,64254,65280,1,-4,2,0,-1,4,1,0,4,-3,2,0,-2,-3,-1,1
61684,1092,64254,65280,-1,-4,2,0,1,4,1,0,4,-3,2,0,-2,-3,-1,1
62194,1092,64254,65280,1,-4,2,0,-1,4,1,0,4,-3,2,0,0,-3,-1,1
62194,1228,64254,65280,1,-2,2,0,-1,4,1,0,4,-1,2,0,0,-3,-1,1
62194,1100,64254,65280,1,-3,2,0,-1,4,1,0,4,-1,2,0,0,-3,-1,1
61690,1100,64254,65280,1,-3,2,0,0,4,1,0,4,-1,2,0,-1,-3,-1,1
61692,1100,64254,65280,0,-3,2,0,1,4,1,0,4,-1,2,0,-1,-3,-1,1
61692,1228,64254,65280,0,-2,2,0,1,4,1,0,4,-1,2,0,-1,-3,-1,1
61690,1228,64254,65280,1,-2,2,0,0,4,1,0,4,-1,2,0,-1,-3,-1,1
61682,1228,64254,65280,1,-2,2,0,-1,4,1,0,4,-1,2,0,-1,-3,-1,1
61682,1100,64254,65280,1,-3,2,0,-1,4,1,0,4,-1,2,0,-1,-3,-1,1
61166,1100,64254,65280,1,-3,2,0,2,4,1,0,0,-1,2,0,0,-3,-1,1
61182,1100,64254,65280,2,-3,2,0,2,4,1,0,1,-1,2,0,-1,-3,-1,1
61182,1228,64254,65280,2,-2,2,0,2,4,1,0,1,-1,2,0,-1,-3,-1,1
61166,1228,64254,65280,2,-2,2,0,2,4,1,0,0,-1,2,0,-1,-3,-1,1
52942,1228,64254,65280,1,-2,2,0,3,4,1,0,-1,-1,2,0,0,-3,-1,1
52974,1228,64254,65280,2,-2,2,0,4,4,1,0,-1,-1,2,0,-1,-3,-1,1
52444,1228,64254,65280,-1,-2,2,0,4,4,1,0,1,-1,2,0,-1,-3,-1,1
52462,1228,64254,65280,1,-2,2,0,4,4,1,0,0,-1,2,0,-1,-3,-1,1
52476,1228,64254,65280,0,-2,2,0,4,4,1,0,1,-1,2,0,-1,-3,-1,1
52478,1228,64254,65280,1,-2,2,0,4,4,1,0,1,-1,2,0,-2,-3,-1,1
56572,1228,64254,65280,-1,-2,2,0,4,4,1,0,3,-1,2,0,-2,-3,-1,1
54524,1228,64254,65280,-1,-2,2,0,3,4,1,0,3,-1,2,0,-2,-3,-1,1
54516,1228,64254,65280,-3,-2,2,0,3,4,1,0,4,-1,2,0,-2,-3,-1,1
54484,1228,64254,65280,-4,-2,2,0,4,4,1,0,4,-1,2,0,-2,-3,-1,1
54492,1228,64254,65280,-3,-2,2,0,4,4,1,0,3,-1,2,0,-2,-3,-1,1
56540,1228,64254,65280,-3,-2,2,0,4,4,1,0,3,-1,2,0,0,-3,-1,1
36558,1228,64254,65280,2,-2,2,0,3,4,1,0,-2,-1,2,0,-1,-3,-1,1
36494,1228,64254,65280,2,-2,2,0,2,4,1,0,-2,-1,2,0,0,-3,-1,1
36526,1228,64254,65280,3,-2,2,0,2,4,1,0,-2,-1,2,0,-1,-3,-1,1
36590,1228,64254,65280,3,-2,2,0,3,4,1,0,-2,-1,2,0,-1,-3,-1,1
44782,1228,64254,65280,4,-2,2,0,3,4,1,0,-2,-1,2,0,-1,-3,-1,1
44718,1228,64254,65280,4,-2,2,0,2,4,1,0,-2,-1,2,0,-1,-3,-1,1
43690,1228,64254,65280,3,-2,2,0,0,4,1,0,0,-1,2,0,-1,-3,-1,1
43694,1228,64254,65280,4,-2,2,0,1,4,1,0,-1,-1,2,0,-1,-3,-1,1
43706,1228,64254,65280,4,-2,2,0,-1,4,1,0,1,-1,2,0,-1,-3,-1,1
43774,1228,64254,65280,4,-2,2,0,1,4,1,0,1,-1,2,0,-2,-3,-1,1
43770,1228,64254,65280,3,-2,2,0,0,4,1,0,2,-1,2,0,-2,-3,-1,1
43758,1228,64254,65280,4,-2,2,0,2,4,1,0,0,-1,2,0,-2,-3,-1,1
45818,1228,64254,65280,3,-2,2,0,-1,4,1,0,3,-1,2,0,-2,-3,-1,1
45810,1228,64254,65280,2,-2,2,0,-2,4,1,0,3,-1,2,0,-1,-3,-1,1
47866,1228,64254,65280,4,-2,2,0,-2,4,1,0,3,-1,2,0,-1,-3,-1,1
47802,1228,64254,65280,4,-2,2,0,-3,4,1,0,3,-1,2,0,0,-3,-1,1
45754,1228,64254,65280,4,-2,2,0,-3,4,1,0,3,-1,2,0,-1,-3,-1,1
45746,1228,64254,65280,3,-2,2,0,-3,4,1,0,3,-1,2,0,-1,-3,-1,1
12978,1228,64254,65280,2,-2,2,0,-4,4,1,0,3,-1,2,0,-1,-3,-1,1
12850,1228,64254,65280,1,-2,2,0,-4,4,1,0,3,-1,2,0,0,-3,-1,1
12336,1228,64254,65280,0,-2,2,0,-4,4,1,0,3,-1,2,0,0,-3,-1,1
12338,1228,64254,65280,1,-2,2,0,-4,4,1,0,3,-1,2,0,-1,-3,-1,1
12466,1228,64254,65280,1,-2,2,0,-3,4,1,0,3,-1,2,0,-1,-3,-1,1
12530,1228,64254,65280,1,-2,2,0,-2,4,1,0,3,-1,2,0,-2,-3,-1,1
12528,1228,64254,65280,0,-2,2,0,-2,4,1,0,3,-1,2,0,-2,-3,-1,1
12400,1228,64254,65280,-1,-2,2,0,-2,4,1,0,3,-1,2,0,-1,-3,-1,1
4176,1228,64254,65280,-3,-2,2,0,-2,4,1,0,3,-1,2,0,-1,-3,-1,1
4208,1228,64254,65280,-2,-2,2,0,-2,4,1,0,3,-1,2,0,-1,-3,-1,1
4336,1228,64254,65280,-1,-2,2,0,-1,4,1,0,3,-1,2,0,-2,-3,-1,1
4144,1228,64254,65280,-1,-2,2,0,-3,4,1,0,3,-1,2,0,-2,-3,-1,1
48,1228,64254,65280,-1,-2,2,0,-3,4,1,0,3,-1,2,0,-3,-3,-1,1
42,1228,64254,65280,4,-2,2,0,-3,4,1,0,-2,-1,2,0,-4,-3,-1,1
50,1228,64254,65280,2,-2,2,0,-3,4,1,0,1,-1,2,0,-4,-3,-1,1
34,1228,64254,65280,2,-2,2,0,-3,4,1,0,0,-1,2,0,-4,-3,-1,1
2,1228,64254,65280,2,-2,2,0,-3,4,1,0,-2,-1,2,0,-4,-3,-1,1
10,1228,64254,65280,4,-2,2,0,-3,4,1,0,-4,-1,2,0,-4,-3,-1,1
12,1228,64254,65280,0,-2,2,0,1,4,1,0,-1,-1,2,0,-4,-3,-1,1
16,1228,64254,65280,-1,-2,2,0,-1,4,1,0,1,-1,2,0,-4,-3,-1,1
4,1228,64254,65280,-3,-2,2,0,1,4,1,0,-1,-1,2,0,-4,-3,-1,1
14,1228,64254,65280,1,-2,2,0,1,4,1,0,-3,-1,2,0,-4,-3,-1,1
76,1228,64254,65280,-1,-2,2,0,2,4,1,0,-1,-1,2,0,-4,-3,-1,1
80,1228,64254,65280,-1,-2,2,0,0,4,1,0,1,-1,2,0,-4,-3,-1,1
84,1228,64254,65280,-2,-2,2,0,1,4,1,0,1,-1,2,0,-4,-3,-1,1
68,1228,64254,65280,-1,-2,2,0,1,4,1,0,0,-1,2,0,-4,-3,-1,1
112,1228,64254,65280,-1,-2,2,0,-1,4,1,0,2,-1,2,0,-4,-3,-1,1
240,1228,64254,65280,-1,-2,2,0,-1,4,1,0,3,-1,2,0,-4,-3,-1,1
242,1228,64254,65280,1,-2,2,0,-2,4,1,0,3,-1,2,0,-4,-3,-1,1
244,1228,64254,65280,-1,-2,2,0,1,4,1,0,3,-1,2,0,-4,-3,-1,1
252,1228,64254,65280,-1,-2,2,0,2,4,1,0,2,-1,2,0,-4,-3,-1,1
254,1228,64254,65280,1,-2,2,0,2,4,1,0,1,-1,2,0,-4,-3,-1,1
178,1228,64254,65280,1,-2,2,0,-1,4,1,0,1,-1,2,0,-4,-3,-1,1
250,1228,64254,65280,2,-2,2,0,-1,4,1,0,2,-1,2,0,-4,-3,-1,1
170,1228,64254,65280,2,-2,2,0,-1,4,1,0,0,-1,2,0,-4,-3,-1,1
174,1228,64254,65280,3,-2,2,0,1,4,1,0,-2,-1,2,0,-4,-3,-1,1
238,1228,64254,65280,2,-2,2,0,2,4,1,0,-1,-1,2,0,-4,-3,-1,1
186,1228,64254,65280,3,-2,2,0,-1,4,1,0,1,-1,2,0,-4,-3,-1,1
220,1228,64254,65280,-1,-2,2,0,3,4,1,0,1,-1,2,0,-4,-3,-1,1
212,1228,64254,65280,-2,-2,2,0,2,4,1,0,2,-1,2,0,-4,-3,-1,1
142,1228,64254,65280,2,-2,2,0,2,4,1,0,-2,-1,2,0,-4,-3,-1,1
522,1228,64254,65280,3,-2,2,0,-1,4,1,0,-3,-1,2,0,-2,-3,-1,1
554,1228,64254,65280,3,-2,2,0,-1,4,1,0,-2,-1,2,0,-2,-3,-1,1
546,1228,64254,65280,3,-2,2,0,-3,4,1,0,-2,-1,2,0,-2,-3,-1,1
682,1228,64254,65280,3,-2,2,0,-1,4,1,0,-1,-1,2,0,-2,-3,-1,1
2730,1228,64254,65280,3,-2,2,0,0,4,1,0,-1,-1,2,0,-2,-3,-1,1
2734,1228,64254,65280,3,-2,2,0,1,4,1,0,-2,-1,2,0,-2,-3,-1,1
2602,1228,64254,65280,3,-2,2,0,-1,4,1,0,-2,-1,2,0,-1,-3,-1,1
2574,1228,64254,65280,2,-2,2,0,1,4,1,0,-3,-1,2,0,-1,-3,-1,1
2702,1228,64254,65280,3,-2,2,0,1,4,1,0,-3,-1,2,0,-1,-3,-1,1
3726,1228,64254,65280,2,-2,2,0,2,4,1,0,-3,-1,2,0,-1,-3,-1,1
3598,1228,64254,65280,2,-2,2,0,1,4,1,0,-3,-1,2,0,0,-3,-1,1
3084,1228,64254,65280,0,-2,2,0,1,4,1,0,-3,-1,2,0,0,-3,-1,1
3086,1228,64254,65280,1,-2,2,0,2,4,1,0,-3,-1,2,0,-1,-3,-1,1
3148,1228,64254,65280,-1,-2,2,0,4,4,1,0,-3,-1,2,0,-1,-3,-1,1
3276,1228,64254,65280,-1,-2,2,0,4,4,1,0,-2,-1,2,0,-2,-3,-1,1
3278,1228,64254,65280,1,-2,2,0,3,4,1,0,-2,-1,2,0,-2,-3,-1,1
3214,1228,64254,65280,1,-2,2,0,3,4,1,0,-3,-1,2,0,-2,-3,-1,1
1028,1228,64254,65280,-3,-2,2,0,3,4,1,0,-3,-1,2,0,-2,-3,-1,1
1036,1228,64254,65280,-2,-2,2,0,3,4,1,0,-3,-1,2,0,-2,-3,-1,1
1092,1228,64254,65280,-4,-2,2,0,4,4,1,0,-3,-1,2,0,-2,-3,-1,1
1100,1228,64254,65280,-3,-2,2,0,4,4,1,0,-3,-1,2,0,-2,-3,-1,1
1228,1228,64254,65280,-1,-2,2,0,4,4,1,0,-2,-1,2,0,-3,-3,-1,1
8890,1228,64254,65280,3,-2,2,0,-2,4,1,0,1,-1,2,0,-2,-3,-1,1
8882,1228,64254,65280,3,-2,2,0,-3,4,1,0,2,-1,2,0,-2,-3,-1,1
8874,1228,64254,65280,3,-2,2,0,-2,4,1,0,0,-1,2,0,-2,-3,-1,1
8746,1228,64254,65280,3,-2,2,0,-2,4,1,0,-1,-1,2,0,-1,-3,-1,1
8754,1228,64254,65280,3,-2,2,0,-4,4,1,0,1,-1,2,0,-1,-3,-1,1
10794,1228,64254,65280,3,-2,2,0,-2,4,1,0,-1,-1,2,0,0,-3,-1,1
10922,1228,64254,65280,3,-2,2,0,-1,4,1,0,-1,-1,2,0,-1,-3,-1,1
28912,1228,64254,65280,-1,-2,2,0,-1,4,1,0,3,-1,2,0,-1,-3,-1,1
20720,1228,64254,65280,-2,-2,2,0,-1,4,1,0,4,-1,2,0,-2,-3,-1,1
20724,1228,64254,65280,-2,-2,2,0,1,4,1,0,4,-1,2,0,-3,-3,-1,1
21588,1228,64254,65280,-4,-2,2,0,1,4,1,0,3,-1,2,0,0,-3,-1,1
21716,1228,64254,65280,-4,-2,2,0,2,4,1,0,3,-1,2,0,-1,-3,-1,1
20592,1228,64254,65280,-2,-2,2,0,-1,4,1,0,3,-1,2,0,-1,-3,-1,1
