f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4"
36046,49404,61690,65280,1,0,1,0,4,3,0,0,-1,1,2,0,-3,-3,-1,1
36046,49404,61692,65280,1,0,0,0,4,3,1,0,-1,1,2,0,-3,-3,-1,1
36046,49404,61694,65280,1,0,1,0,4,3,1,0,-1,1,3,0,-3,-3,-2,1
36078,49404,61694,65280,2,0,1,0,4,3,1,0,-1,1,3,0,-3,-3,-2,1
36078,49404,61692,65280,2,0,0,0,4,3,2,0,-1,1,3,0,-3,-3,-2,1
36078,49404,61690,65280,2,0,1,0,4,3,0,0,-1,1,3,0,-3,-3,-2,1
36078,49404,61682,65280,2,0,1,0,4,3,-1,0,-1,1,4,0,-3,-3,-2,1
36078,52428,61682,65280,2,0,1,0,4,4,-1,0,-1,0,4,0,-3,-3,-2,1
36046,52428,61682,65280,1,0,1,0,4,4,-1,0,-1,0,4,0,-3,-3,-2,1
36046,52428,61690,65280,1,0,2,0,4,4,-1,0,-1,0,4,0,-3,-3,-2,1
36046,52428,61680,65280,1,0,0,0,4,4,-1,0,-1,0,4,0,-3,-3,-2,1
36046,52942,61680,65280,1,1,0,0,4,2,-1,0,-1,-1,4,0,-3,0,-2,1
36046,52942,61682,65280,1,1,1,0,4,2,-1,0,-1,-1,4,0,-3,0,-2,1
36046,52942,61692,65280,1,1,0,0,4,2,1,0,-1,-1,4,0,-3,0,-2,1
36046,52942,61694,65280,1,1,1,0,4,2,1,0,-1,-1,4,0,-3,0,-2,1
36046,52942,61684,65280,1,1,-1,0,4,2,1,0,-1,-1,4,0,-3,0,-2,1
36046,52942,61690,65280,1,1,1,0,4,2,0,0,-1,-1,4,0,-3,0,-2,1
36494,52942,61684,65280,4,1,-1,0,4,2,1,0,-4,-1,4,0,-3,0,-2,1
36526,52942,61684,65280,4,1,-1,0,3,2,1,0,-3,-1,4,0,-2,0,-2,1
