f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4"
52462,44718,61680,65280,1,4,0,0,2,2,0,0,0,-2,2,0,-1,-1,-1,1
52462,52942,61680,65280,1,2,0,0,2,4,0,0,0,-2,2,0,-1,-1,-1,1
52942,52462,61680,65280,2,1,0,0,4,4,0,0,-2,0,2,0,-1,-1,-1,1
44718,52462,61680,65280,4,1,0,0,2,4,0,0,-2,0,2,0,-1,-1,-1,1
43758,52942,61680,65280,4,2,0,0,2,4,0,0,-1,-2,2,0,-2,-1,-1,1
44718,43758,61680,65280,4,2,0,0,2,1,0,0,-2,0,2,0,-1,-1,-1,1
3598,43758,61680,65280,2,2,0,0,2,1,0,0,-4,0,2,0,-1,-1,-1,1
3084,43758,61680,65280,0,2,0,0,2,1,0,0,-4,0,2,0,-1,-1,-1,1
1028,43758,61680,65280,-2,2,0,0,2,1,0,0,-4,0,2,0,-1,-1,-1,1
1036,43758,61680,65280,-1,2,0,0,2,1,0,0,-4,0,2,0,-1,-1,-1,1
1036,44782,61680,65280,-1,3,0,0,2,2,0,0,-4,-1,2,0,-1,-1,-1,1
3086,44782,61680,65280,1,3,0,0,2,2,0,0,-4,-1,2,0,-1,-1,-1,1
3086,43758,61680,65280,1,4,0,0,2,2,0,0,-4,-1,2,0,-1,-2,-1,1
3086,52974,61680,65280,1,3,0,0,2,4,0,0,-4,-1,2,0,-1,-2,-1,1
3278,52942,61680,65280,1,1,0,0,4,4,0,0,-3,-1,2,0,-2,0,-1,1
3148,52430,61680,65280,-1,1,0,0,4,4,0,0,-3,-1,2,0,-2,-1,-1,1
3148,52462,61680,65280,-1,1,0,0,4,4,0,0,-3,0,2,0,-2,-1,-1,1
3084,52462,61680,65280,-1,1,0,0,4,4,0,0,-4,0,2,0,-2,-1,-1,1
3086,52462,61680,65280,1,1,0,0,3,4,0,0,-4,0,2,0,-2,-1,-1,1
3278,52462,61680,65280,1,1,0,0,4,4,0,0,-3,0,2,0,-2,-1,-1,1
3598,52462,61680,65280,2,1,0,0,2,4,0,0,-4,0,2,0,-1,-1,-1,1
19532,52462,61680,65280,-2,1,0,0,4,4,0,0,-2,0,2,0,-1,-1,-1,1
19532,43758,61680,65280,-2,2,0,0,4,1,0,0,-2,0,2,0,-1,-1,-1,1
19532,8874,61680,65280,-2,4,0,0,4,-1,0,0,-2,0,2,0,-1,-3,-1,1
52942,8874,61680,65280,2,4,0,0,4,-1,0,0,-2,0,2,0,-1,-3,-1,1
44718,8874,61680,65280,4,4,0,0,2,-1,0,0,-2,0,2,0,-1,-3,-1,1
10794,8874,61680,65280,4,4,0,0,-2,-1,0,0,-2,0,2,0,-1,-3,-1,1
2602,8874,61680,65280,3,4,0,0,-1,-1,0,0,-2,0,2,0,-1,-3,-1,1
2570,8874,61680,65280,2,4,0,0,0,-1,0,0,-2,0,2,0,-1,-3,-1,1
2574,8874,61680,65280,2,4,0,0,1,-1,0,0,-3,0,2,0,-1,-3,-1,1
2734,8874,61680,65280,4,4,0,0,1,-1,0,0,-3,0,2,0,-2,-3,-1,1
3278,8874,61680,65280,2,4,0,0,4,-1,0,0,-3,0,2,0,-3,-3,-1,1
3086,8874,61680,65280,1,4,0,0,3,-1,0,0,-4,0,2,0,-2,-3,-1,1
3084,8874,61680,65280,0,4,0,0,4,-1,0,0,-4,0,2,0,-2,-3,-1,1
3598,8874,61680,65280,1,4,0,0,3,-1,0,0,-4,0,2,0,0,-3,-1,1
522,8874,61680,65280,2,4,0,0,-1,-1,0,0,-4,0,2,0,-1,-3,-1,1
514,8874,61680,65280,2,4,0,0,-2,-1,0,0,-4,0,2,0,-1,-3,-1,1
554,8874,61680,65280,4,4,0,0,-3,-1,0,0,-3,0,2,0,-1,-3,-1,1
1036,8874,61680,65280,-1,4,0,0,2,-1,0,0,-3,0,2,0,-1,-3,-1,1
1028,8874,61680,65280,-2,4,0,0,2,-1,0,0,-3,0,2,0,-1,-3,-1,1
1100,8874,61680,65280,-1,4,0,0,2,-1,0,0,-1,0,2,0,-1,-3,-1,1
3148,8874,61680,65280,-1,4,0,0,3,-1,0,0,-2,0,2,0,-1,-3,-1,1
1100,10794,61680,65280,-1,4,0,0,2,-2,0,0,-1,-2,2,0,-1,-1,-1,1
1100,34,61680,65280,-1,4,0,0,2,-4,0,0,-1,-2,2,0,-1,-4,-1,1
1036,34,61680,65280,-1,4,0,0,2,-4,0,0,-2,-2,2,0,-1,-4,-1,1
1036,42,61680,65280,-1,4,0,0,2,-3,0,0,-2,-2,2,0,-1,-4,-1,1
554,42,61680,65280,3,4,0,0,-2,-3,0,0,-2,-2,2,0,-1,-4,-1,1
682,42,61680,65280,4,4,0,0,-1,-3,0,0,-2,-2,2,0,-3,-4,-1,1
682,554,61680,65280,4,4,0,0,-1,-3,0,0,-2,-2,2,0,-3,-3,-1,1
76,554,61680,65280,-1,4,0,0,3,-3,0,0,-2,-2,2,0,-3,-3,-1,1
170,554,61680,65280,1,4,0,0,0,-3,0,0,0,-2,2,0,-3,-3,-1,1
206,554,61680,65280,1,4,0,0,2,-3,0,0,-1,-2,2,0,-3,-3,-1,1
238,554,61680,65280,1,4,0,0,1,-3,0,0,0,-2,2,0,-3,-3,-1,1
204,554,61680,65280,0,4,0,0,2,-3,0,0,0,-2,2,0,-3,-3,-1,1
204,1100,61680,65280,0,-1,0,0,2,2,0,0,0,-1,2,0,-3,-1,-1,1
206,1100,61680,65280,1,-1,0,0,2,2,0,0,-1,-1,2,0,-3,-1,-1,1
238,1100,61680,65280,1,-1,0,0,1,2,0,0,0,-1,2,0,-3,-1,-1,1
170,1100,61680,65280,1,-1,0,0,0,2,0,0,0,-1,2,0,-3,-1,-1,1
174,1100,61680,65280,2,-1,0,0,1,2,0,0,-1,-1,2,0,-3,-1,-1,1
174,1092,61680,65280,2,-2,0,0,1,2,0,0,-1,-1,2,0,-3,-1,-1,1
206,1092,61680,65280,1,-2,0,0,2,2,0,0,-1,-1,2,0,-3,-1,-1,1
42,1092,61680,65280,2,-2,0,0,-1,2,0,0,-1,-1,2,0,-3,-1,-1,1
42,1228,61680,65280,2,-1,0,0,-1,3,0,0,-1,-1,2,0,-3,-2,-1,1
42,1100,61680,65280,2,-2,0,0,-1,4,0,0,-1,-2,2,0,-3,-2,-1,1
34,1100,61680,65280,2,-2,0,0,-2,4,0,0,0,-2,2,0,-3,-2,-1,1
76,1100,61680,65280,-1,-2,0,0,2,4,0,0,-1,-2,2,0,-3,-2,-1,1
76,1228,61680,65280,-1,-1,0,0,2,4,0,0,-1,-2,2,0,-3,-3,-1,1
76,1092,61680,65280,-1,-4,0,0,2,4,0,0,-1,-2,2,0,-3,-3,-1,1
14,1228,61680,65280,1,-1,0,0,2,4,0,0,-3,-2,2,0,-3,-3,-1,1
12,1228,61680,65280,0,-1,0,0,2,4,0,0,-2,-2,2,0,-3,-3,-1,1
10,1228,61680,65280,2,-1,0,0,0,4,0,0,-2,-2,2,0,-3,-3,-1,1
2,1228,61680,65280,1,-1,0,0,-1,4,0,0,-2,-2,2,0,-3,-3,-1,1
2,682,61680,65280,1,4,0,0,-1,-1,0,0,-2,-2,2,0,-3,-3,-1,1
10,682,61680,65280,2,4,0,0,-1,-1,0,0,-2,-2,2,0,-3,-3,-1,1
4,682,61680,65280,-1,4,0,0,1,-1,0,0,-2,-2,2,0,-3,-3,-1,1
14,682,61680,65280,1,4,0,0,1,-1,0,0,-2,-2,2,0,-3,-3,-1,1
42,682,61680,65280,3,4,0,0,-1,-1,0,0,-2,-2,2,0,-3,-3,-1,1
206,682,61680,65280,1,4,0,0,3,-1,0,0,-2,-2,2,0,-4,-3,-1,1
174,682,61680,65280,3,4,0,0,1,-1,0,0,-2,-2,2,0,-4,-3,-1,1
174,19532,61680,65280,3,-2,0,0,1,4,0,0,-2,-2,2,0,-4,-1,-1,1
170,19532,61680,65280,4,-2,0,0,0,4,0,0,-2,-2,2,0,-4,-1,-1,1
206,19532,61680,65280,1,-2,0,0,3,4,0,0,-2,-2,2,0,-4,-1,-1,1
238,19532,61680,65280,1,-2,0,0,3,4,0,0,0,-2,2,0,-4,-1,-1,1
1228,19532,61680,65280,-1,-2,0,0,4,4,0,0,-1,-2,2,0,-3,-1,-1,1
3278,19532,61680,65280,1,-2,0,0,3,4,0,0,-2,-2,2,0,-2,-1,-1,1
2734,19532,61680,65280,3,-2,0,0,1,4,0,0,-2,-2,2,0,-2,-1,-1,1
682,19532,61680,65280,4,-2,0,0,-1,4,0,0,-2,-2,2,0,-3,-1,-1,1
554,19532,61680,65280,4,-2,0,0,-1,4,0,0,-3,-2,2,0,-3,-1,-1,1
1100,19532,61680,65280,-1,-2,0,0,4,4,0,0,-3,-2,2,0,-3,-1,-1,1
1100,17612,61680,65280,-1,-2,0,0,4,4,0,0,-3,-1,2,0,-3,-2,-1,1
1100,52942,61680,65280,-1,1,0,0,4,2,0,0,-3,-1,2,0,-3,0,-1,1
1228,52942,61680,65280,-1,1,0,0,4,2,0,0,-2,-1,2,0,-3,0,-1,1
1228,52430,61680,65280,-1,1,0,0,4,3,0,0,-2,-1,2,0,-3,-1,-1,1
682,52430,61680,65280,4,1,0,0,-1,3,0,0,-2,-1,2,0,-3,-1,-1,1
682,52942,61680,65280,4,1,0,0,-1,3,0,0,-2,-1,2,0,-3,0,-1,1
554,52942,61680,65280,4,1,0,0,-1,3,0,0,-3,-1,2,0,-3,0,-1,1
34,52942,61680,65280,3,1,0,0,-3,3,0,0,-2,-1,2,0,-3,0,-1,1
42,52942,61680,65280,3,1,0,0,-2,3,0,0,-2,-1,2,0,-3,0,-1,1
76,52942,61680,65280,-2,1,0,0,3,3,0,0,-2,-1,2,0,-3,0,-1,1
206,52942,61680,65280,1,1,0,0,2,3,0,0,-1,-1,2,0,-3,0,-1,1
204,52942,61680,65280,0,1,0,0,3,3,0,0,-1,-1,2,0,-3,0,-1,1
206,44782,61680,65280,1,3,0,0,2,2,0,0,-1,-1,2,0,-3,-1,-1,1
42,44782,61680,65280,2,3,0,0,-1,2,0,0,-1,-1,2,0,-3,-1,-1,1
42,2734,61680,65280,2,4,0,0,-1,2,0,0,-1,-3,2,0,-3,-3,-1,1
34,2734,61680,65280,2,4,0,0,-2,2,0,0,0,-3,2,0,-3,-3,-1,1
206,2734,61680,65280,1,4,0,0,2,2,0,0,-1,-3,2,0,-3,-3,-1,1
204,2734,61680,65280,0,4,0,0,3,2,0,0,-1,-3,2,0,-3,-3,-1,1
1028,2734,61680,65280,-1,4,0,0,1,2,0,0,-1,-3,2,0,0,-3,-1,1
1036,2734,61680,65280,-1,4,0,0,2,2,0,0,-2,-3,2,0,-1,-3,-1,1
76,2734,61680,65280,-2,4,0,0,3,2,0,0,-2,-3,2,0,-3,-3,-1,1
76,10794,61680,65280,-2,4,0,0,3,-2,0,0,-2,-2,2,0,-3,-1,-1,1
42,10794,61680,65280,3,4,0,0,-2,-2,0,0,-2,-2,2,0,-3,-1,-1,1
